BJD_TDB,Source_AMag_T1,,Used to find the orbit number,,,Linear Regression,
2460874.7698878,14.0824,,T0:,2460874.817175,,0.346443,2460874.817175
2460874.7811161,14.1680,,P:,0.346443,,0.000005,0.000452
2460874.7924592,14.3404,,,,,100.000%,0.000745
2460874.8036176,14.6850,,,,,4502889541,12
2460874.8147526,14.9544,,,,,2498.424558,6.65819E-06
2460874.8259809,14.7596,,,,,,
2460874.8371854,14.4334,,BJD_TDB,,,,
2460874.8483901,14.1815,,Time of Minima,Std Error,Orbit Number,O-C,Bmax
2460874.8576729,14.0823,,2460874.815852,0.000644,0.0,-0.001323,14.954
,,,2460878.802904,0.000719,11.5,0.001639,14.578
2460878.7576426,13.9579,,2460886.769173,0.000661,34.5,-0.000272,14.566
2460878.7689165,14.0696,,2460894.738226,0.000552,57.5,0.000600,14.586
2460878.7801672,14.2607,,2460899.760356,0.000794,72.0,-0.000688,14.943
2460878.7913480,14.4804,,2460902.878968,0.000240,81.0,-0.000059,14.981
2460878.8025987,14.5784,,2460903.745618,0.000320,83.5,0.000484,14.536
2460878.8138495,14.4658,,2460906.689560,0.000329,92.0,-0.000337,14.948
2460878.8251000,14.2459,,2460906.863036,0.000505,92.5,-0.000081,14.522
2460878.8362349,14.0873,,2460910.846894,0.000516,104.0,-0.000314,14.970
2460878.8474624,14.0181,,2460911.713737,0.000348,106.5,0.000423,14.515
,,,2460914.658327,0.000328,115.0,0.000251,14.933
2460886.7255309,13.9771,,2460915.869933,0.000461,118.5,-0.000692,14.477
2460886.7367811,14.0736,,2460920.894414,0.000361,133.0,0.000370,14.948
2460886.7481007,14.2707,,,,,,
2460886.7593514,14.4797,,,,,,
2460886.7706018,14.5660,,,,,,
2460886.7818055,14.4199,,,,,,
2460886.7929633,14.1896,,,,,,
2460886.8042830,14.0703,,,,,,
2460886.8155562,13.9814,,,,,,
,,,,,,,
2460894.6960328,13.9606,,,,,,
2460894.7071448,14.0764,,,,,,
2460894.7182796,14.2979,,,,,,
2460894.7293685,14.4801,,,,,,
2460894.7405032,14.5855,,,,,,
2460894.7517076,14.3818,,,,,,
2460894.7628891,14.1901,,,,,,
2460894.7740473,14.0278,,,,,,
2460894.7851819,13.9374,,,,,,
,,,,,,,
2460899.7131040,14.0738,,,,,,
2460899.7241466,14.1847,,,,,,
2460899.7351896,14.2920,,,,,,
2460899.7462314,14.6362,,,,,,
2460899.7572735,14.9429,,,,,,
2460899.7683858,14.8569,,,,,,
2460899.7794281,14.4702,,,,,,
2460899.7904706,14.2767,,,,,,
2460899.8015820,14.0935,,,,,,
,,,,,,,
2460902.8342067,14.0805,,,,,,
2460902.8453180,14.2082,,,,,,
2460902.8564289,14.4128,,,,,,
2460902.8676097,14.7406,,,,,,
2460902.8787905,14.9806,,,,,,
2460902.8900412,14.7675,,,,,,
2460902.9012214,14.4263,,,,,,
2460902.9124019,14.1986,,,,,,
2460902.9236060,14.0627,,,,,,
,,,,,,,
2460903.7027430,13.9890,,,,,,
2460903.7139014,14.0911,,,,,,
2460903.7250817,14.2611,,,,,,
2460903.7340177,14.4235,,,,,,
2460903.7451755,14.5357,,,,,,
2460903.7564254,14.4192,,,,,,
2460903.7676762,14.2583,,,,,,
2460903.7788107,14.0542,,,,,,
2460903.7900380,13.9703,,,,,,
,,,,,,,
2460906.6456829,14.1019,,,,,,
2460906.6569800,14.2084,,,,,,
2460906.6681605,14.4423,,,,,,
2460906.6793419,14.7312,,,,,,
2460906.6905241,14.9479,,,,,,
2460906.7017034,14.7064,,,,,,
2460906.7129075,14.3918,,,,,,
2460906.7241345,14.1713,,,,,,
2460906.7353869,14.0447,,,,,,
,,,,,,,
2460906.8199235,13.9765,,,,,,
2460906.8311041,14.0995,,,,,,
2460906.8423777,14.2323,,,,,,
2460906.8536280,14.4491,,,,,,
2460906.8649013,14.5219,,,,,,
2460906.8762243,14.3669,,,,,,
2460906.8875406,14.1773,,,,,,
2460906.8988148,14.0392,,,,,,
2460906.9101337,13.9604,,,,,,
,,,,,,,
2460910.8011973,14.0697,,,,,,
2460910.8124940,14.2041,,,,,,
2460910.8238370,14.3779,,,,,,
2460910.8349718,14.6914,,,,,,
2460910.8460835,14.9695,,,,,,
2460910.8573806,14.7551,,,,,,
2460910.8685387,14.4396,,,,,,
2460910.8797657,14.1772,,,,,,
2460910.8909694,14.0761,,,,,,
,,,,,,,
2460911.6696913,13.9609,,,,,,
2460911.6809415,14.0621,,,,,,
2460911.6921924,14.2291,,,,,,
2460911.7035125,14.4104,,,,,,
2460911.7146939,14.5146,,,,,,
2460911.7258748,14.3883,,,,,,
2460911.7371948,14.1794,,,,,,
2460911.7483754,14.0365,,,,,,
2460911.7596036,13.9630,,,,,,
,,,,,,,
2460914.6152140,14.0978,,,,,,
2460914.6263810,14.1937,,,,,,
2460914.6375154,14.4497,,,,,,
2460914.6487429,14.7795,,,,,,
2460914.6599234,14.9331,,,,,,
2460914.6710579,14.7153,,,,,,
2460914.6822849,14.3482,,,,,,
2460914.6935124,14.1518,,,,,,
2460914.7046467,14.0342,,,,,,
,,,,,,,
2460915.8207363,13.9098,,,,,,
2460915.8320560,13.9879,,,,,,
2460915.8433067,14.1299,,,,,,
2460915.8545567,14.3358,,,,,,
2460915.8657378,14.4770,,,,,,
2460915.8768722,14.4680,,,,,,
2460915.8880312,14.2827,,,,,,
2460915.8991646,14.0987,,,,,,
2460915.9102987,13.9783,,,,,,
,,,,,,,
2460920.8487919,14.0733,,,,,,
2460920.8599722,14.1665,,,,,,
2460920.8712916,14.4046,,,,,,
2460920.8825182,14.6901,,,,,,
2460920.8938147,14.9483,,,,,,
2460920.9050185,14.7614,,,,,,
2460920.9163379,14.4122,,,,,,
2460920.9275880,14.1854,,,,,,
2460920.9389072,14.0796,,,,,,
